Country,Agricultural Land( %),Land Area(Km2),Co2-Emissions,CPI,Currency-Code,GDP,Gross tertiary education enrollment (%),Maternal mortality ratio,Minimum wage,Official language,Population,Unemployment rate,Urban_population
Afghanistan,0.581,652230,8672,149.9,AFN,19101353833,0.097,638,0.43,Pashto,38041754,0.1112,9797273
Albania,0.431,28748,4536,119.05,ALL,15278077447,0.55,15,1.12,Albanian,2854191,0.1233,1747593
Algeria,0.174,2381741,150006,151.36,DZD,1.70E+11,0.514,112,0.95,Arabic,43053054,0.117,31510100
Andorra,0.4,468,469,,EUR,3154057987,,,6.63,Catalan,77142,,67873
Angola,0.475,1246700,34693,261.73,AOA,94635415870,0.093,241,0.71,Portuguese,31825295,0.0689,21061025
Antigua and Barbuda,0.205,443,557,113.81,XCD,1727759259,0.248,42,3.04,English,97118,,23800
Argentina,0.543,2780400,201348,232.75,ARS,4.50E+11,0.9,39,3.35,Spanish,44938712,0.0979,41339571
Armenia,0.589,29743,5156,129.18,AMD,13672802158,0.546,26,0.66,Armenian,2957731,0.1699,1869848
Australia,0.482,7741220,375908,119.8,AUD,1.39E+12,1.131,6,13.59,None,25766605,0.0527,21844756
Austria,0.324,83871,61448,118.06,EUR,4.46E+11,0.851,5,,German,8877067,0.0467,5194416
Azerbaijan,0.577,86600,37620,156.32,AZN,39207000000,0.277,26,0.47,Azerbaijani language,10023318,0.0551,5616165
The Bahamas,0.014,13880,1786,116.22,,12827000000,0.151,70,5.25,English,389482,0.1036,323784
Bahrain,0.111,765,31694,117.59,BHD,38574069149,0.505,14,,Arabic,1501635,0.0071,1467109
Bangladesh,0.706,148460,84246,179.68,BDT,3.03E+11,0.206,173,0.51,Bengali,167310838,0.0419,60987417
Barbados,0.233,430,1276,134.09,BBD,5209000000,0.654,27,3.13,English,287025,0.1033,89431
Belarus,0.42,207600,58280,,BYN,63080457023,0.874,2,1.49,Russian,9466856,0.0459,7482982
Belgium,0.446,30528,96889,117.11,EUR,5.30E+11,0.797,5,10.31,French,11484055,0.0559,11259082
Belize,0.07,22966,568,105.68,BZD,1879613600,0.247,36,1.65,English,390353,0.0641,179039
Benin,0.333,112622,6476,110.71,XOF,14390709095,0.123,397,0.39,French,11801151,0.0223,5648149
Bhutan,0.136,38394,1261,167.18,,2446674101,0.156,183,0.32,Dzongkha,727145,0.0234,317538
Bolivia,0.348,1098581,21606,148.32,BOB,40895322865,,155,1.36,Spanish,11513100,0.035,8033035
Bosnia and Herzegovina,0.431,51197,21848,104.9,BAM,20047848435,0.233,10,1.04,Bosnian,3301000,0.1842,1605144
Botswana,0.456,581730,6340,149.75,BWP,18340510789,0.249,144,0.29,English,2346179,0.1819,1616550
Brazil,0.339,8515770,462299,167.4,BRL,1.84E+12,0.513,60,1.53,Portuguese,212559417,0.1208,183241641
Brunei,0.027,5765,7664,99.03,BND,13469422941,0.314,31,,Malay,433285,0.0912,337711
Bulgaria,0.463,110879,41708,114.42,BGN,86000000000,0.71,10,1.57,Bulgarian,6975761,0.0434,5256027
Burkina Faso,0.442,274200,3418,106.58,XOF,15745810235,0.065,320,0.34,French,20321378,0.0626,6092349
Burundi,0.792,27830,495,182.11,BIF,3012334882,0.061,548,,Kirundi,11530580,0.0143,1541177
Ivory Coast,0.648,322463,9674,111.61,XOF,58792205642,0.093,617,0.36,French,25716544,0.0332,13176900
Cape Verde,0.196,4033,543,110.5,CVE,1981845741,0.236,58,0.68,Portuguese,483628,0.1225,364029
Cambodia,0.309,181035,9919,127.63,,27089389787,0.137,160,,Khmer language,16486542,0.0068,3924621
Cameroon,0.206,475440,8291,118.65,XAF,38760467033,0.128,529,0.35,French,25876380,0.0338,14741256
Canada,0.069,9984670,544894,116.76,CAD,1.74E+12,0.689,10,9.51,French,36991981,0.0556,30628482
Central African Republic,0.082,622984,297,186.86,,2220307369,0.03,829,0.37,French,4745185,0.0368,1982064
Chad,0.397,1284000,1016,117.7,XAF,11314951343,0.033,1140,0.6,French,15946876,0.0189,3712273
Chile,0.212,756096,85822,131.91,CLP,2.82E+11,0.885,13,2,Spanish,18952038,0.0709,16610135
China,0.562,9596960,9893038,125.08,CNY,1.99E+13,0.506,29,0.87,Standard Chinese,1397715000,0.0432,842933962
